,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,(-0.23326221987415643+0j),(-0.00011211237544282195+0j),(0.1460187181381382+0j),(-0.010071992136964587+0j),(-0.1673095691371189+0j),(-0.11767368488788417+0j),(0.2822045765378909+0j),(0.4279502072363385+0j),(-0.30003742620603224+0j),(0.3375115658023115+0j),(-0.4124673987482802+0j),(-0.23605829592994765+0j),(0.383253535079933+0j),(0.15830721325794098+0j),(0.1072022511424352+0j),(0.07949380700676625+0j)
1,(-0.19496579221394267+0j),(0.006700722226740402+0j),(0.1731743212599773+0j),(0.18966691762983462+0j),(-0.10080761601183952+0j),(-0.5187631473824791+0j),(-0.11580927047330541+0j),(0.19361222376740295+0j),(-0.3071445759656992+0j),(-0.1372944261421628+0j),(0.5846167034981429+0j),(0.12540585863514345+0j),(0.0644304494847521+0j),(0.20254929016566436+0j),(-0.20817371024330106+0j),(-0.08124675602937535+0j)
2,(-0.6234167294892295+0j),(0.21124716664067253+0j),(-0.3141797233771313+0j),(-0.09789421626598521+0j),(-0.3427596464043743+0j),(-0.1773214297933249+0j),(-0.3491195334067645+0j),(-0.11336750664791098+0j),(0.200134708407466+0j),(0.12250343055147833+0j),(-0.11446573278324239+0j),(-0.08741413413116833+0j),(-0.27834679988804084+0j),(0.048830048460667075+0j),(0.12447317399835392+0j),(0.060090119513273484+0j)
3,(-0.09072117133394678+0j),(-0.16458334544778794+0j),(-0.26356035129875494+0j),(-0.08801463777303976+0j),(0.3847811568540388+0j),(-0.09897242218364967+0j),(-0.38196013919485206+0j),(-0.3560034223199307+0j),(-0.3840548964573905+0j),(0.03327325221732808+0j),(-0.1700440129310911+0j),(0.06537564257289055+0j),(0.3849838289750402+0j),(-0.0196275981595644+0j),(-0.18910217019085684+0j),(0.3013895433482283+0j)
4,(-0.36604694867332915+0j),(0.30482717444614205+0j),(-0.036870934687674155+0j),(-0.003247330143416935+0j),(-0.15917628098034595+0j),(0.2935786271218517+0j),(0.21831916621976621+0j),(-0.05219063774766659+0j),(-0.007363829867524041+0j),(-0.5577225048429381+0j),(-0.030066715808378885+0j),(0.16511948571752785+0j),(0.42565032780558987+0j),(-0.2268483158249428+0j),(-0.15457564917828828+0j),(-0.11831454998100077+0j)
5,(0.18904942821765733+0j),(-0.050078944387593124+0j),(0.06663329143125911+0j),(-0.12238589659151676+0j),(0.07536938469291955+0j),(-0.5797576028238113+0j),(-0.12168307896793032+0j),(0.15588144292030864+0j),(0.24493889646532466+0j),(-0.4686499894478982+0j),(-0.4945817176717136+0j),(0.1324099921306232+0j),(0.012836315869585732+0j),(0.0018468151600661536+0j),(0.07613185149100116+0j),(-0.11701834919364831+0j)
6,(0.2547637360780961+0j),(0.07284104215856829+0j),(-0.27354358656513295+0j),(0.2620998440259415+0j),(-0.09984984587822927+0j),(0.18788530566269446+0j),(-0.5276050195808297+0j),(0.3266832243468209+0j),(-0.07761777263954613+0j),(-0.12259927532750384+0j),(0.09305700195614094+0j),(-0.3078660094106979+0j),(0.25713597935619564+0j),(-0.08258165219578992+0j),(0.3169617076310332+0j),(-0.24084804802598767+0j)
7,(-0.11830973287747189+0j),(0.14409763478985185+0j),(0.0730200492658829+0j),(0.011538185025571409+0j),(0.33610637347618433+0j),(-0.19998324056969824+0j),(0.24338097472877065+0j),(-0.40987666440445575+0j),(0.025456743294065973+0j),(-0.151504210622938+0j),(0.13111833322514094+0j),(-0.6161198103193026+0j),(0.07430743527352765+0j),(0.1454270521275716+0j),(0.30635041766205917+0j),(-0.19662462038671844+0j)
8,(-0.08828257335560867+0j),(-0.4445033963915297+0j),(0.05930602133844738+0j),(0.6745956799190345+0j),(-0.2665560089673029+0j),(0.0058737007842500424+0j),(0.09934866272035817+0j),(-0.2805787887131969+0j),(-0.09387580694250691+0j),(-0.17986798225529343+0j),(-0.1673000533741117+0j),(0.07495442379597024+0j),(-0.0826060171815997+0j),(-0.015587115344238229+0j),(0.2556316737815822+0j),(0.17075791639955915+0j)
9,(0.06711087851876504+0j),(-0.05159179473317138+0j),(-0.7681429010494109+0j),(0.0018165974904171109+0j),(0.07924067927134835+0j),(-0.1965211568702189+0j),(0.46312384062601725+0j),(0.17552265159552313+0j),(-0.2022465936735117+0j),(-0.04887305182571519+0j),(0.08723807768631102+0j),(0.07019440809619906+0j),(-0.1654252762203992+0j),(-0.14953872720441133+0j),(0.0824230930686999+0j),(-0.015656970399615545+0j)
10,(-0.2705740463548053+0j),(-0.45999288891813395+0j),(0.023096476515297594+0j),(-0.2561713449087596+0j),(0.14297417541429416+0j),(0.3235729557243255+0j),(-0.08047119861446117+0j),(0.21408210705066194+0j),(-0.26869939793128333+0j),(-0.3310951345198976+0j),(-0.08993983026746623+0j),(-0.15969802144302683+0j),(-0.34664275556202157+0j),(0.26693165885105447+0j),(-0.09699704227001522+0j),(-0.23527232128833073+0j)
